SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
50,7cm Dolphin,https://www.feltandyarn.com/2943-large_default/7cm-mini-blue-felt-dolphin.jpg,,7DOLP,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"The small, handcrafted dolpin with the from blue felt. The hand-stitched  with the visible stitching around the edges and detailed with various embroided elements. It features a blue and white striped tusk extending the head, small black, and white bead eyes, and mouth. The body and tail are decorated with scattered white,light blue, and orange speckle. It has the length of 7cm and width of 2cm.",,,https://www.feltandyarn.com/animals-and-characters/1423-7762-7cm-mini-blue-felt-dolphin.html#/388-package-10_pieces,,,,,,
51,7cm Owl,https://www.feltandyarn.com/2954-large_default/7cm-needle-felted-mini-cute-owl.jpg,,7OWL,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"The miniature, decorative felt owl is crafted with the soft felt. The main body is orange felt, featuring ear tufts, two red wings. The face is defined by white felt patch, which is decorated with green stem and orange flowers. The owl has black bead eye and needled wink on the other side along with small brown beak.",,,https://www.feltandyarn.com/animals-and-characters/1424-7767-7cm-needle-felted-mini-cute-owl.html#/388-package-10_pieces,,,,,,
52,7cm Turquoise Fish,https://www.feltandyarn.com/3057-large_default/7cm-turquoise-colored-mini-felt-fish.jpg,,7FISH,--- Animals & Characters,"Wet Felting, Needling, Stitching",12.00,,5602.10.00,"The small,handcrafted made from the light turquoise blue felt, with overall the length of the 7cm and width of 2cm. The body is stitched with matching blue thread around the edge. The front black eye with white fins and tail fin patterns. The belly area is green stitching dotted with a small yellow and white.",,,https://www.feltandyarn.com/animals-and-characters/1434-7782-7cm-turquoise-colored-mini-felt-fish.html#/388-package-10_pieces,,,,,,
53,7cm Beaver,https://www.feltandyarn.com/3128-large_default/7cm-mini-felt-orange-beaver.jpg,,7BEAV,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"The beaver about the 7cm length and width of 2cm is crafted with orange  soft felt. The face features a orange muzzle and a small, stitched dark brown nose. It has tiny white buck teeth beneath the nose and large black eyes. The flat tail made from a darker brown felt and is decorated with orange zigzag stitching. A unique small pocket  on the front adorned with simple green vine and orange flower.",,,https://www.feltandyarn.com/animals-and-characters/1441-7797-7cm-mini-felt-orange-beaver.html#/388-package-10_pieces,,,,,,
54,7cm Fox,https://www.feltandyarn.com/5242-large_default/7cm-orange-cute-mini-felt-fox.jpg,,7FOX,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"The cute about the 7cm length and 2cm width is crafted with orange felt. The white felt is used for the face ,belly and tip of bushy tail. The face features a tiny black eyes and black nose. A flower design on the belly patch with green stem stitched. A orange matching thread is used for stitching around the edges of the body.",,,https://www.feltandyarn.com/animals-and-characters/1675-7875-7cm-orange-cute-mini-felt-fox.html#/388-package-10_pieces,,,,,,
55,6cm Kitten,https://www.feltandyarn.com/3942-large_default/small-cute-felt-kittens.jpg,,6KITT,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,". The kitten are crafted with needle felted wool fibre, measuing about 6cm in length. The body has three color variations including white, brown and black with the pink felt used for the lining os upright ears and tiny nose,mouth area. The face features a small black eyes and brown cat include subtle darker tabby markings.",,,https://www.feltandyarn.com/animals-and-characters/1540-7863-small-cute-felt-kittens.html#/390-package-20_pieces/788-craft_supplies_design-kitten_1,,Base color,,,,
56,4x9 Whale,https://www.feltandyarn.com/7543-large_default/felt-mini-whale.jpg,,4WHAL,--- Animals & Characters,"Wet Felting, Needling, Stitching",5.00,,5602.10.00,"The whale crafted from fuzzy royal blue felt. A patch of white under the belly is used. The whale has a plump, rounded body, a small fluke tail, and a simple flipper attached on the side. A spout is attached on the top of head. The face featues a tiny black eye. The blue thread is used for the stitching around the edges of body. ",,,https://www.feltandyarn.com/animals-and-characters/1944-15949-felt-mini-whale.html#/391-package-25_pieces,,,,,,
57,Octopus,https://www.feltandyarn.com/7618-large_default/mini-felt-smily-octopus-ornament.jpg,,OCTO,--- Animals & Characters,"Wet Felting, Needling, Stitching",12.00,,5602.10.00,"The octopus crafted from the soft, fuzzy dusty blue felt. The body is rounded with six visible tentacles extending outwards and the blue felt is used to stitched around the edge of the body.",,,https://www.feltandyarn.com/animals-and-characters/1952-16139-mini-felt-smily-octopus-ornament.html#/389-package-15_pieces,,,,,,
58,8cm Sheep,https://www.feltandyarn.com/7807-large_default/bulk-wool-felt-black-sheep.jpg,,8SHEP,--- Animals & Characters,"Wet Felting, Needling, Stitching",10.00,,5602.10.00,"The sheep is crafted with the fluffy white felt with stitched lines to add texture. The head and four small legs are made from black felt. The simplicity of the shape and clear color contrast between white and black give sheep classic,highly recognizable and charming aesthetic. ",,,https://www.feltandyarn.com/animals-and-characters/1969-16731-bulk-wool-felt-black-sheep.html#/396-package-50_pieces,,,,,,
59,9-11cm Family Set 1,https://www.feltandyarn.com/8133-large_default/5-members-stitched-felted-family-set-puppet.jpg,,1FAML,--- Animals & Characters,"Wet Felting, Needling, Stitching, Sewing",50.00,,5602.10.00,"The collection features various handcrafted finger pupet family depicting a multi generational family unit including grandparents, parents, and young boy and girl. Each pupet is made from soft felt with visible stitching around the edges of body. The figures are simply designed with the minimal facial features such as small eyes and embroided mouths, wearing a distinct outfits to differentiate the characters. They are sized about 10-11cm in lenght and has hollow body to fit onto person's finger.",,,https://www.feltandyarn.com/animals-and-characters/1988-24126-5-members-stitched-felted-family-set-puppet.html#/1709-sets-2_sets_10_pieces,,,,,,
60,9x7cm Stitched Elephant,https://www.feltandyarn.com/8358-large_default/stitched-felt-light-gray-elephant.jpg,,9ELE,--- Animals & Characters,"Wet Felting, Needling, Stitching",9.00,,5602.10.00,"The small handcrafted elephant measuring 9cm length and 7cm width made from light blue felt. The body is stitched with black thread outlines the shape of legs, body and trunk. It features a seperate, smaller, yellow felt piece stitched on the head to represent the ear, detailed with the black stitch. The face has minimalist details, including the small, curved black stitch for eye.",,,https://www.feltandyarn.com/animals-and-characters/2005-17776-stitched-felt-light-gray-elephant.html#/389-package-15_pieces,,,,,,
61,Narwhal,https://www.feltandyarn.com/8165-large_default/felt-mini-narwhal-.jpg,,NARW,--- Animals & Characters,"Wet Felting, Needling",4.00,,5602.10.00,"The narwhal is small, handcrafted measuring around the 8.5cm length, 4cm height and 2cm length of horn. The body is soft and plump due to stuffing inside. The narwhal has a distinct white felt belly patch and a small, white, spiral tusk extending from is forehead. The face has small black needled eyes.",,,https://www.feltandyarn.com/animals-and-characters/1986-34821-felt-mini-narwhal-.html#/2102-craft_supplies_design-seafoam_narwhal,,,,,,
62,Panda with Bamboo,https://www.feltandyarn.com/9950-large_default/wool-felt-cute-panda-with-bamboo.jpg,,PANDA,--- Animals & Characters,"Wet Felting, Needling, Sewing",13.00,,5602.10.00,"The panda is crafted with the soft white felt. It has rounded body with the black patches around the eyes, black ears, and black limbs. Facal details include minimalist black eye, nose and mouth. The panda is holding a green bamboo stalk horizontally across its body with small black paws. The bamboo is detailed with the lighter green node. The panda is 6cm length and 5cm width.",,,https://www.feltandyarn.com/animals-and-characters/2049-18732-wool-felt-cute-panda-with-bamboo.html#/389-package-15_pieces,,,,,,
63,9-11cm Family Set 2,https://www.feltandyarn.com/8139-large_default/5-members-family-wool-felt-puppets-.jpg,,2FAML,--- Animals & Characters,"Wet Felting, Needling, Sewing, Stitching",50.00,,5602.10.00,"The five handcrafted finger puppet designed to represent the family set. Each puppet is made with soft, white felt body with the faces and clothing applied in various colors. The five characters includes father with a mustache and short brown hair wearning a turquoise shirt and green pant, women with long dark red, curly hair wearing a pink dress, a young boy with short brown wearning a turquoise top and dark shorts, a young girl with dark red hair back wearing a pink top and pant , a baby is wrapped in green stitched line blanket. All the pupet are sized of 9-11cm and has hollow between to fit on the finger.",,,https://www.feltandyarn.com/animals-and-characters/1987-24135-5-members-family-wool-felt-puppets-.html#/1709-sets-2_sets_10_pieces,,,,,,
64,9cm Dinosaur,https://www.feltandyarn.com/9319-large_default/9cm-stitched-purple-felt-dinosaur.jpg,,9DINO,--- Animals & Characters,"Wet Felting, Needling, Stitching",6.00,,5602.10.00,"The small, handcrafted Brachiosaurus style dinosaur made from purple felt measuring around the 9cm in length. and 4cm in width on body. The body is constructed with visible stitched with matching purple thread around the edges of the dinosaur. The body features a small yellow stitched onto its back. It has a tiny, stitched detailed for face including small black and blue elements near the end of its long, curved neck.",,,https://www.feltandyarn.com/animals-and-characters/2101-19176-9cm-stitched-purple-felt-dinosaur.html#/389-package-15_pieces,,,,,,
65,6cm Tiger,https://www.feltandyarn.com/10275-large_default/6cm-needle-felt-tiger.jpg,,6TIGE,--- Animals & Characters,"Wet Felting, Needling",13.00,,5602.10.00,"The small, handcrafted tiger is crafted using the orange felt. It has the rounded body with pointed ears. The body has a black stripes on the orange body as well as large white patch on the belly, chin and paws and small yellow patch on the forehead. It has needled black eyes ,nose with the whisters, black inner ears.",,,https://www.feltandyarn.com/animals-and-characters/2179-21043-6cm-needle-felt-tiger.html#/389-package-15_pieces,,,,,,
66,8cm Bull,https://www.feltandyarn.com/8975-large_default/8cm-cute-felt-bull.jpg,,8BULL,--- Animals & Characters,"Wet Felting, Needling",4.00,,5602.10.00,"The bull is crafted with brown felt using the wet felting technique. It has blocky and squat body shape with the two white horns. A small light brown patch for nose and fours legs are used. The nose has black needled, black and white eyes and two curved white horns extending on the top. The bull measures 8cm in height and 4cm in width.",,,https://www.feltandyarn.com/animals-and-characters/2059-18903-8cm-cute-felt-bull.html#/388-package-10_pieces,,,,,,
67,8cm Crab,https://www.feltandyarn.com/8982-large_default/8cm-felt-crab.jpg,,8CRAB,--- Animals & Characters,"Wet Felting, Needling, Stitching",5.00,,5602.10.00,"The crab is crafted from the soft red wool. The crab has the two main claws and four pairs of walking legs , rounded body, visible red threads stitching around the edges of the body. The facial details has the two black eyes. The size of the crab is 8cm with the 2cm height.",,,https://www.feltandyarn.com/animals-and-characters/2060-18908-8cm-felt-crab.html#/391-package-25_pieces,,,,,,
68,8cm Lion,https://www.feltandyarn.com/8991-large_default/8cm-needle-felted-lion.jpg,,8LION,--- Animals & Characters,"Wet Felting, Needling",8.00,,5602.10.00,"The lion measuring around the 8cm in height and 5cm in width is crafted using the orange felt. The body is rounded head with distinct shaggy, brown mane and tail tip. Facial details are small black and white eyes, a brown nose, a white patch with black frecle dot and eyebro. White felts are used on the four paws ",,,https://www.feltandyarn.com/animals-and-characters/2061-18913-8cm-needle-felted-lion.html#/388-package-10_pieces,,,,,,
69,6cm Phoenix,https://www.feltandyarn.com/9002-large_default/6cm-wool-fire-bird-phoenix.jpg,,PHOE,--- Animals & Characters,"Wet Felting, Needling",4.00,,5602.10.00,"The small handcrafted phoenix bird measuring the 6cm in height and 2cm in width is made with natural wool. The soft, plump, rounded body constructed using hand stitched that are visible around the edges of body. The body is in the red color with patches of the vibrant yellow used for the wings, tail feathers,  a small tuf of feathers on the head and V shaped beak. It has small black and white eyes.",,,https://www.feltandyarn.com/animals-and-characters/2062-18922-6cm-wool-fire-bird-phoenix.html#/388-package-10_pieces,,,,,,
70,8cm Wolf,https://www.feltandyarn.com/9003-large_default/8cm-felt-gray-wolf.jpg,,WOLF,--- Animals & Characters,"Wet Felting, Needling",5.00,,5602.10.00,"The wolf is crafted using the soft white felt measuring 8cm in height. The body has a plump, rounded shape, with color pattern featuring grey wool on the back and head that transitions to white patch on the belly and face. The facial details are small black eyes and black pointed nose. It also has the two upright triangular ears with the white inner ear details.",,,https://www.feltandyarn.com/animals-and-characters/2063-18924-8cm-felt-gray-wolf.html#/388-package-10_pieces,,,,,,
71,8cm Owl,https://www.feltandyarn.com/10584-large_default/8cm-cute-needle-felted-owl.jpg,,8OWL,--- Animals & Characters,"Wet Felting, Needling",25.00,,5602.10.00,The owl made from the natural wool is measuring around the 8cm in height. The body is rounded shape with distinct heart shaped white facial disk and belly with light brown back and wings. Face has the two black and white eyes with pointed brown felt beak. ,,,https://www.feltandyarn.com/animals-and-characters/2210-23272-8cm-cute-needle-felted-owl.html#/389-package-15_pieces,,,,,,
72,10cm Moose,https://www.feltandyarn.com/15164-large_default/10cm-felt-moose.jpg,,10MOOS,--- Animals & Characters,"Wet Felting, Needling",16.00,,5602.10.00,"The moose is made with soft brown woll using the wet felting technique. It is about the 10cm in length with 4cm width. The two lighter brown felt shaped in large, multipointed antlers and two rounded ears attached on the head. The face has two black bead eyes  and white felt surrounds, black nose, and two black eyebrows ",,,https://www.feltandyarn.com/pet-toys/2478-34271-10cm-felt-moose.html#/388-package-10_pieces,,,,,,
73,6cm Owl,https://www.feltandyarn.com/17598-large_default/handmade-felt-pink-owl.jpg,,6OWL,--- Animals & Characters,"Wet Felting, Needling",4.00,,5602.10.00,The small handcrafted owl made from the pink natural wool using wet felting technique. The body rounded with two white eye patches outline the two bolded pink ring which contains the black sleeping eyes. A circular orange beak sits centrally below the eyes and two orange feet protrude from the bottom. It is about the 7cm in lengtha and 5cm in width.,,,https://www.feltandyarn.com/animals-and-characters/2632-37564-handmade-felt-pink-owl.html#/391-package-25_pieces,,,,,,
74,11x8cm Unicorn,https://www.feltandyarn.com/18060-large_default/wool-felt-stitched-unicorn.jpg,,11UNI,--- Animals & Characters,"Wet Felting, Needling, Stitching",13.00,,5602.10.00,"The handfelted unicorn crafted using the wet felting technique. The white body, mane and tail accented in the contrast of the olive green hair. The body is stitched around the entire edge of the unicorn.",,,https://www.feltandyarn.com/animals-and-characters/2637-37733-wool-felt-stitched-unicorn.html#/2304-craft_supplies_design-white_unicorn,,,,,,
75,9cm Mouse,https://www.feltandyarn.com/18067-large_default/wool-felt-white-mouse.jpg,,9MOUS,--- Animals & Characters,"Wet Felting, Needling",16.00,,5602.10.00,"The handmade felt mice, crafted from the natural wool using wet felting technique is 9cm in length. The design is simple featuring a solid white body with circular pink patches on the ears and back. Small back eyes are needled on the face with pointed nose and thin, white tail extends form the back.",,,https://www.feltandyarn.com/pet-toys/2639-37741-wool-felt-white-mouse.html#/388-package-10_pieces,,,,,,
76,13x10cm Llama,https://www.feltandyarn.com/18115-large_default/wool-felt-llama-ornament.jpg,,13LlA,--- Animals & Characters,"Wet Felting, Needling, Stitching",16.00,,5602.10.00,"The handmade wool felt stitched llama is crafted with the white wool using wet felting technique. The design features a white body with pink patch for nose and mouth area. A yellow saddle blanket with horizontal blue, orange, red strip on the back. The black hoove is needled on the feet and black eyes , nose and mouth ",,,https://www.feltandyarn.com/animals-and-characters/2645-37780-wool-felt-llama-ornament.html#/388-package-10_pieces,,,,,,
77,Multicolor Pom Pom Sheep,https://www.feltandyarn.com/18079-large_default/multicolor-felt-pom-pom-sheep.jpg,,,--- Animals & Characters,"Wet Felting, Needling, Stitching",51.00,,5602.10.00,The pompom sheep is crafted using the numerious small felt speherical balls joining together. The base of sheep is wet felted. The design present multicolor pompom balls. It is 12 cm in size. The face of the sheep has the white eyes with black pupils and black ears attached on the top of head. It has the four slender black legs.,,,https://www.feltandyarn.com/animals-and-characters/2640-37759-multicolor-felt-pom-pom-sheep.html#/2306-craft_supplies_design-multicolor_white_head_sheep,https://drive.google.com/drive/folders/1z8cVfhfjYMa5aw01mWI631zKzcKOhzjH?usp=drive_link,,,,,
78,,,,,,,,,5602.10.00,,,,,,,,,,
79,,,,,,,,,5602.10.00,,,,,,,,,,
80,,,,,,,,,5602.10.00,,,,,,,,,,
81,,,,,,,,,5602.10.00,,,,,,,,,,
82,,,,,,,,,5602.10.00,,,,,,,,,,
83,,,,,,,,,5602.10.00,,,,,,,,,,
84,,,,,,,,,5602.10.00,,,,,,,,,,
85,,,,,,,,,5602.10.00,,,,,,,,,,
86,,,,,,,,,5602.10.00,,,,,,,,,,
87,,,,,,,,,5602.10.00,,,,,,,,,,
88,,,,,,,,,5602.10.00,,,,,,,,,,
89,,,,,,,,,5602.10.00,,,,,,,,,,
90,,,,,,,,,5602.10.00,,,,,,,,,,
91,,,,,,,,,5602.10.00,,,,,,,,,,
92,,,,,,,,,5602.10.00,,,,,,,,,,
93,,,,,,,,,5602.10.00,,,,,,,,,,
94,,,,,,,,,5602.10.00,,,,,,,,,,
95,,,,,,,,,5602.10.00,,,,,,,,,,
96,,,,,,,,,5602.10.00,,,,,,,,,,
97,,,,,,,,,5602.10.00,,,,,,,,,,
98,,,,,,,,,5602.10.00,,,,,,,,,,
99,,,,,,,,,5602.10.00,,,,,,,,,,
100,,,,,,,,,5602.10.00,,,,,,,,,,
101,,,,,,,,,5602.10.00,,,,,,,,,,
102,,,,,,,,,5602.10.00,,,,,,,,,,
103,,,,,,,,,5602.10.00,,,,,,,,,,
104,,,,,,,,,5602.10.00,,,,,,,,,,
105,,,,,,,,,5602.10.00,,,,,,,,,,
106,,,,,,,,,5602.10.00,,,,,,,,,,
107,,,,,,,,,5602.10.00,,,,,,,,,,
108,,,,,,,,,5602.10.00,,,,,,,,,,
109,,,,,,,,,5602.10.00,,,,,,,,,,
110,,,,,,,,,5602.10.00,,,,,,,,,,
111,,,,,,,,,5602.10.00,,,,,,,,,,
112,,,,,,,,,5602.10.00,,,,,,,,,,
113,,,,,,,,,5602.10.00,,,,,,,,,,
114,,,,,,,,,5602.10.00,,,,,,,,,,
115,,,,,,,,,5602.10.00,,,,,,,,,,
116,,,,,,,,,5602.10.00,,,,,,,,,,
117,,,,,,,,,5602.10.00,,,,,,,,,,
118,,,,,,,,,5602.10.00,,,,,,,,,,
119,,,,,,,,,5602.10.00,,,,,,,,,,
120,,,,,,,,,5602.10.00,,,,,,,,,,
121,,,,,,,,,5602.10.00,,,,,,,,,,
122,,,,,,,,,5602.10.00,,,,,,,,,,
123,,,,,,,,,5602.10.00,,,,,,,,,,
124,,,,,,,,,5602.10.00,,,,,,,,,,
125,,,,,,,,,5602.10.00,,,,,,,,,,
126,,,,,,,,,5602.10.00,,,,,,,,,,
127,,,,,,,,,5602.10.00,,,,,,,,,,
128,,,,,,,,,5602.10.00,,,,,,,,,,
129,,,,,,,,,5602.10.00,,,,,,,,,,
130,,,,,,,,,5602.10.00,,,,,,,,,,
131,,,,,,,,,5602.10.00,,,,,,,,,,
132,,,,,,,,,5602.10.00,,,,,,,,,,
133,,,,,,,,,5602.10.00,,,,,,,,,,
134,,,,,,,,,5602.10.00,,,,,,,,,,
135,,,,,,,,,5602.10.00,,,,,,,,,,
136,,,,,,,,,5602.10.00,,,,,,,,,,
137,,,,,,,,,5602.10.00,,,,,,,,,,
138,,,,,,,,,5602.10.00,,,,,,,,,,
139,,,,,,,,,5602.10.00,,,,,,,,,,
140,,,,,,,,,5602.10.00,,,,,,,,,,
141,,,,,,,,,5602.10.00,,,,,,,,,,
142,,,,,,,,,5602.10.00,,,,,,,,,,
143,,,,,,,,,5602.10.00,,,,,,,,,,
144,,,,,,,,,5602.10.00,,,,,,,,,,
145,,,,,,,,,5602.10.00,,,,,,,,,,
146,,,,,,,,,5602.10.00,,,,,,,,,,
147,,,,,,,,,5602.10.00,,,,,,,,,,
148,,,,,,,,,5602.10.00,,,,,,,,,,
149,,,,,,,,,5602.10.00,,,,,,,,,,
150,,,,,,,,,5602.10.00,,,,,,,,,,
151,,,,,,,,,5602.10.00,,,,,,,,,,
152,,,,,,,,,5602.10.00,,,,,,,,,,
153,,,,,,,,,5602.10.00,,,,,,,,,,
154,,,,,,,,,5602.10.00,,,,,,,,,,
155,,,,,,,,,5602.10.00,,,,,,,,,,
156,,,,,,,,,5602.10.00,,,,,,,,,,
157,,,,,,,,,5602.10.00,,,,,,,,,,
158,,,,,,,,,5602.10.00,,,,,,,,,,
159,,,,,,,,,5602.10.00,,,,,,,,,,
160,,,,,,,,,5602.10.00,,,,,,,,,,
161,,,,,,,,,5602.10.00,,,,,,,,,,
162,,,,,,,,,5602.10.00,,,,,,,,,,
163,,,,,,,,,5602.10.00,,,,,,,,,,
164,,,,,,,,,5602.10.00,,,,,,,,,,
165,,,,,,,,,5602.10.00,,,,,,,,,,
166,,,,,,,,,5602.10.00,,,,,,,,,,
167,,,,,,,,,5602.10.00,,,,,,,,,,
168,,,,,,,,,5602.10.00,,,,,,,,,,
169,,,,,,,,,5602.10.00,,,,,,,,,,
170,,,,,,,,,5602.10.00,,,,,,,,,,
171,,,,,,,,,5602.10.00,,,,,,,,,,
172,,,,,,,,,5602.10.00,,,,,,,,,,
173,,,,,,,,,5602.10.00,,,,,,,,,,
174,,,,,,,,,5602.10.00,,,,,,,,,,
175,,,,,,,,,5602.10.00,,,,,,,,,,
176,,,,,,,,,5602.10.00,,,,,,,,,,
177,,,,,,,,,5602.10.00,,,,,,,,,,
178,,,,,,,,,5602.10.00,,,,,,,,,,
179,,,,,,,,,5602.10.00,,,,,,,,,,
180,,,,,,,,,5602.10.00,,,,,,,,,,
181,,,,,,,,,5602.10.00,,,,,,,,,,
182,,,,,,,,,5602.10.00,,,,,,,,,,
183,,,,,,,,,5602.10.00,,,,,,,,,,
184,,,,,,,,,5602.10.00,,,,,,,,,,
185,,,,,,,,,5602.10.00,,,,,,,,,,
186,,,,,,,,,5602.10.00,,,,,,,,,,
187,,,,,,,,,5602.10.00,,,,,,,,,,
188,,,,,,,,,5602.10.00,,,,,,,,,,
189,,,,,,,,,5602.10.00,,,,,,,,,,
190,,,,,,,,,5602.10.00,,,,,,,,,,
191,,,,,,,,,5602.10.00,,,,,,,,,,
192,,,,,,,,,5602.10.00,,,,,,,,,,
193,,,,,,,,,5602.10.00,,,,,,,,,,
194,,,,,,,,,5602.10.00,,,,,,,,,,
195,,,,,,,,,5602.10.00,,,,,,,,,,
196,,,,,,,,,5602.10.00,,,,,,,,,,
197,,,,,,,,,5602.10.00,,,,,,,,,,
198,,,,,,,,,5602.10.00,,,,,,,,,,
199,,,,,,,,,5602.10.00,,,,,,,,,,
200,,,,,,,,,5602.10.00,,,,,,,,,,
201,,,,,,,,,5602.10.00,,,,,,,,,,
202,,,,,,,,,5602.10.00,,,,,,,,,,
203,,,,,,,,,5602.10.00,,,,,,,,,,
204,,,,,,,,,5602.10.00,,,,,,,,,,
205,,,,,,,,,5602.10.00,,,,,,,,,,
206,,,,,,,,,5602.10.00,,,,,,,,,,
207,,,,,,,,,5602.10.00,,,,,,,,,,
208,,,,,,,,,5602.10.00,,,,,,,,,,
209,,,,,,,,,5602.10.00,,,,,,,,,,
210,,,,,,,,,5602.10.00,,,,,,,,,,
211,,,,,,,,,5602.10.00,,,,,,,,,,
212,,,,,,,,,5602.10.00,,,,,,,,,,
213,,,,,,,,,5602.10.00,,,,,,,,,,
214,,,,,,,,,5602.10.00,,,,,,,,,,
215,,,,,,,,,5602.10.00,,,,,,,,,,
216,,,,,,,,,5602.10.00,,,,,,,,,,
217,,,,,,,,,5602.10.00,,,,,,,,,,
218,,,,,,,,,5602.10.00,,,,,,,,,,
219,,,,,,,,,5602.10.00,,,,,,,,,,
220,,,,,,,,,5602.10.00,,,,,,,,,,
221,,,,,,,,,5602.10.00,,,,,,,,,,
222,,,,,,,,,5602.10.00,,,,,,,,,,
223,,,,,,,,,5602.10.00,,,,,,,,,,
224,,,,,,,,,5602.10.00,,,,,,,,,,
225,,,,,,,,,5602.10.00,,,,,,,,,,
226,,,,,,,,,5602.10.00,,,,,,,,,,
227,,,,,,,,,5602.10.00,,,,,,,,,,
228,,,,,,,,,5602.10.00,,,,,,,,,,
229,,,,,,,,,5602.10.00,,,,,,,,,,
230,,,,,,,,,5602.10.00,,,,,,,,,,
231,,,,,,,,,5602.10.00,,,,,,,,,,
232,,,,,,,,,5602.10.00,,,,,,,,,,
233,,,,,,,,,5602.10.00,,,,,,,,,,
234,,,,,,,,,5602.10.00,,,,,,,,,,
235,,,,,,,,,5602.10.00,,,,,,,,,,
236,,,,,,,,,5602.10.00,,,,,,,,,,
237,,,,,,,,,5602.10.00,,,,,,,,,,
238,,,,,,,,,5602.10.00,,,,,,,,,,
239,,,,,,,,,5602.10.00,,,,,,,,,,
240,,,,,,,,,5602.10.00,,,,,,,,,,
241,,,,,,,,,5602.10.00,,,,,,,,,,
242,,,,,,,,,5602.10.00,,,,,,,,,,
243,,,,,,,,,5602.10.00,,,,,,,,,,
244,,,,,,,,,5602.10.00,,,,,,,,,,
245,,,,,,,,,5602.10.00,,,,,,,,,,
246,,,,,,,,,5602.10.00,,,,,,,,,,
247,,,,,,,,,5602.10.00,,,,,,,,,,
248,,,,,,,,,5602.10.00,,,,,,,,,,
249,,,,,,,,,5602.10.00,,,,,,,,,,
250,,,,,,,,,5602.10.00,,,,,,,,,,
251,,,,,,,,,5602.10.00,,,,,,,,,,
252,,,,,,,,,5602.10.00,,,,,,,,,,
253,,,,,,,,,5602.10.00,,,,,,,,,,
254,,,,,,,,,5602.10.00,,,,,,,,,,
255,,,,,,,,,5602.10.00,,,,,,,,,,
256,,,,,,,,,5602.10.00,,,,,,,,,,
257,,,,,,,,,5602.10.00,,,,,,,,,,
258,,,,,,,,,5602.10.00,,,,,,,,,,
259,,,,,,,,,5602.10.00,,,,,,,,,,
260,,,,,,,,,5602.10.00,,,,,,,,,,
261,,,,,,,,,5602.10.00,,,,,,,,,,
262,,,,,,,,,5602.10.00,,,,,,,,,,
263,,,,,,,,,5602.10.00,,,,,,,,,,
264,,,,,,,,,5602.10.00,,,,,,,,,,
265,,,,,,,,,5602.10.00,,,,,,,,,,
266,,,,,,,,,5602.10.00,,,,,,,,,,
267,,,,,,,,,5602.10.00,,,,,,,,,,
268,,,,,,,,,5602.10.00,,,,,,,,,,
269,,,,,,,,,5602.10.00,,,,,,,,,,
270,,,,,,,,,5602.10.00,,,,,,,,,,
271,,,,,,,,,5602.10.00,,,,,,,,,,
272,,,,,,,,,5602.10.00,,,,,,,,,,
273,,,,,,,,,5602.10.00,,,,,,,,,,
274,,,,,,,,,5602.10.00,,,,,,,,,,
275,,,,,,,,,5602.10.00,,,,,,,,,,
276,,,,,,,,,5602.10.00,,,,,,,,,,
277,,,,,,,,,5602.10.00,,,,,,,,,,
278,,,,,,,,,5602.10.00,,,,,,,,,,
279,,,,,,,,,5602.10.00,,,,,,,,,,
280,,,,,,,,,5602.10.00,,,,,,,,,,
281,,,,,,,,,5602.10.00,,,,,,,,,,
282,,,,,,,,,5602.10.00,,,,,,,,,,
283,,,,,,,,,5602.10.00,,,,,,,,,,
284,,,,,,,,,5602.10.00,,,,,,,,,,
285,,,,,,,,,5602.10.00,,,,,,,,,,
286,,,,,,,,,5602.10.00,,,,,,,,,,
287,,,,,,,,,5602.10.00,,,,,,,,,,
288,,,,,,,,,5602.10.00,,,,,,,,,,
289,,,,,,,,,5602.10.00,,,,,,,,,,
290,,,,,,,,,5602.10.00,,,,,,,,,,
291,,,,,,,,,5602.10.00,,,,,,,,,,
292,,,,,,,,,5602.10.00,,,,,,,,,,
293,,,,,,,,,5602.10.00,,,,,,,,,,
294,,,,,,,,,5602.10.00,,,,,,,,,,
295,,,,,,,,,5602.10.00,,,,,,,,,,
296,,,,,,,,,5602.10.00,,,,,,,,,,
297,,,,,,,,,5602.10.00,,,,,,,,,,
298,,,,,,,,,5602.10.00,,,,,,,,,,
299,,,,,,,,,5602.10.00,,,,,,,,,,
300,,,,,,,,,5602.10.00,,,,,,,,,,
301,,,,,,,,,5602.10.00,,,,,,,,,,
302,,,,,,,,,5602.10.00,,,,,,,,,,
303,,,,,,,,,5602.10.00,,,,,,,,,,
304,,,,,,,,,5602.10.00,,,,,,,,,,
305,,,,,,,,,5602.10.00,,,,,,,,,,
306,,,,,,,,,5602.10.00,,,,,,,,,,
307,,,,,,,,,5602.10.00,,,,,,,,,,
308,,,,,,,,,5602.10.00,,,,,,,,,,
